label,path,prediction,proposed_label
drums,DSD100/Sources/Test/040 - The Long Wait - Back Home To Blue/drums.wav,drum kit,drums
vocals,DSD100/Sources/Test/040 - The Long Wait - Back Home To Blue/vocals.wav,a capella,vocals
bass,DSD100/Sources/Test/040 - The Long Wait - Back Home To Blue/bass.wav,bass guitar,bass
drums,DSD100/Sources/Test/035 - Signe Jakobsen - What Have You Done To Me/drums.wav,drum kit,drums
vocals,DSD100/Sources/Test/035 - Signe Jakobsen - What Have You Done To Me/vocals.wav,a capella,vocals
bass,DSD100/Sources/Test/035 - Signe Jakobsen - What Have You Done To Me/bass.wav,bass guitar,bass
drums,DSD100/Sources/Test/001 - ANiMAL - Clinic A/drums.wav,drum,drums
vocals,DSD100/Sources/Test/001 - ANiMAL - Clinic A/vocals.wav,speech,other
bass,DSD100/Sources/Test/001 - ANiMAL - Clinic A/bass.wav,synthesizer,bass
drums,DSD100/Sources/Test/008 - Bill Chudziak - Children Of No-one/drums.wav,drum kit,drums
vocals,DSD100/Sources/Test/008 - Bill Chudziak - Children Of No-one/vocals.wav,male singing,vocals
bass,DSD100/Sources/Test/008 - Bill Chudziak - Children Of No-one/bass.wav,bass guitar,bass
drums,DSD100/Sources/Test/043 - Timboz - Pony/drums.wav,drum kit,drums
vocals,DSD100/Sources/Test/043 - Timboz - Pony/vocals.wav,singing,vocals
bass,DSD100/Sources/Test/043 - Timboz - Pony/bass.wav,bass guitar,bass
drums,DSD100/Sources/Test/022 - Johnny Lokke - Promises & Lies/drums.wav,drum,drums
vocals,DSD100/Sources/Test/022 - Johnny Lokke - Promises & Lies/vocals.wav,a capella,vocals
bass,DSD100/Sources/Test/022 - Johnny Lokke - Promises & Lies/bass.wav,bass guitar,bass
drums,DSD100/Sources/Test/014 - Fergessen - Back From The Start/drums.wav,drum,drums
vocals,DSD100/Sources/Test/014 - Fergessen - Back From The Start/vocals.wav,vocal music,vocals
bass,DSD100/Sources/Test/014 - Fergessen - Back From The Start/bass.wav,electric piano,other
drums,DSD100/Sources/Test/044 - Tom McKenzie - Directions/drums.wav,drum,drums
vocals,DSD100/Sources/Test/044 - Tom McKenzie - Directions/vocals.wav,male singing,vocals
bass,DSD100/Sources/Test/044 - Tom McKenzie - Directions/bass.wav,bass guitar,bass
drums,DSD100/Sources/Test/046 - Triviul - Dorothy/drums.wav,drum machine,drums
vocals,DSD100/Sources/Test/046 - Triviul - Dorothy/vocals.wav,speech,other
bass,DSD100/Sources/Test/046 - Triviul - Dorothy/bass.wav,synthesizer,bass
