label,path,prediction,proposed_label
drums,DSD100subset/Sources/Test/049 - Young Griffo - Facade/drums.wav,drum,drums
vocals,DSD100subset/Sources/Test/049 - Young Griffo - Facade/vocals.wav,singing,vocals
bass,DSD100subset/Sources/Test/049 - Young Griffo - Facade/bass.wav,bass guitar,bass
drums,DSD100subset/Sources/Test/005 - Angela Thomas Wade - Milk Cow Blues/drums.wav,drum,drums
vocals,DSD100subset/Sources/Test/005 - Angela Thomas Wade - Milk Cow Blues/vocals.wav,female singing,vocals
bass,DSD100subset/Sources/Test/005 - Angela Thomas Wade - Milk Cow Blues/bass.wav,bass guitar,bass
drums,DSD100subset/Sources/Dev/055 - Angels In Amplifiers - I'm Alright/drums.wav,percussion,drums
vocals,DSD100subset/Sources/Dev/055 - Angels In Amplifiers - I'm Alright/vocals.wav,singing,vocals
bass,DSD100subset/Sources/Dev/055 - Angels In Amplifiers - I'm Alright/bass.wav,bass guitar,bass
drums,DSD100subset/Sources/Dev/081 - Patrick Talbot - Set Me Free/drums.wav,drum machine,drums
vocals,DSD100subset/Sources/Dev/081 - Patrick Talbot - Set Me Free/vocals.wav,mantra,vocals
bass,DSD100subset/Sources/Dev/081 - Patrick Talbot - Set Me Free/bass.wav,guitar,other
