label,path,prediction
drums,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/drums/9eb0e462-9706-4dc1-a599-8b0fd7f894d6.wav,speech
drums,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/drums/0d461632-aec7-44eb-8aab-1aee3608cba5.wav,drum machine
drums,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/drums/8eafe20c-ba56-416e-b032-a4aa7ed7c3e6.wav,drum
drums,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/drums/321f4eac-13ba-47a2-9f11-e0c6b3e1aa51.wav,cymbal
drums,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/drums/34cd659b-3871-49d9-b4f5-d43f5e76c597.wav,drum machine
drums,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/drums/2f650009-a195-4c54-a75c-382eb7ef848c.wav,tambourine
vocals,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/vocals/6042a07c-5628-4fc1-b223-73b722096672.wav,speech
vocals,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/vocals/fc7e6b49-a274-4b67-8663-319e79a3b234.wav,speech
other_keys,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/other_keys/923d261a-5b18-4b4a-bfc3-5f9516cc6b94.wav,speech
other_keys,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/other_keys/7acf3dc5-170c-4ae8-a898-6c736aa49c7c.wav,keyboard (musical)
guitar,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/guitar/2cec450a-1dca-409f-8dc9-efca2a289bce.wav,speech
guitar,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/guitar/1d835071-b5bc-41e4-ba73-c5f737441b2c.wav,speech
guitar,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/guitar/0348bf4c-6b45-4480-826f-62cc6663e46a.wav,guitar
bass,moisesdb/moisesdb_v0.1/9653a690-c28c-4e8f-962e-ff7ed18b8ee9/bass/523b6b55-1291-46cb-a840-27304518b03b.wav,guitar
drums,moisesdb/moisesdb_v0.1/8ba20549-c038-47c0-a808-e38741135911/drums/11d6d8da-8f08-47d2-acc8-689d4014dd76.wav,speech
drums,moisesdb/moisesdb_v0.1/8ba20549-c038-47c0-a808-e38741135911/drums/090c33f2-5812-41ae-8d30-6387db017a24.wav,drum machine
drums,moisesdb/moisesdb_v0.1/8ba20549-c038-47c0-a808-e38741135911/drums/ddbe726d-2b88-4e90-b339-cd1a333581e0.wav,hi-hat
vocals,moisesdb/moisesdb_v0.1/8ba20549-c038-47c0-a808-e38741135911/vocals/6f81d727-5ec0-44a7-89ba-cc0bcbf26c3e.wav,speech
vocals,moisesdb/moisesdb_v0.1/8ba20549-c038-47c0-a808-e38741135911/vocals/59750a5d-e946-46c6-b38a-2c7005069aa2.wav,speech
guitar,moisesdb/moisesdb_v0.1/8ba20549-c038-47c0-a808-e38741135911/guitar/df77ee74-defc-40d1-94c9-73dc97b7ca8e.wav,acoustic guitar
guitar,moisesdb/moisesdb_v0.1/8ba20549-c038-47c0-a808-e38741135911/guitar/64106ffa-d015-4812-87b3-6e3b26ee68dd.wav,speech
bass,moisesdb/moisesdb_v0.1/8ba20549-c038-47c0-a808-e38741135911/bass/a96b4f8a-e786-4329-912f-82fe36b75ba3.wav,speech
piano,moisesdb/moisesdb_v0.1/1a32e987-cae8-458f-9c26-d9a6abf5348d/piano/789762e8-7a5a-44d9-ba29-81cd9fdaccd5.wav,piano
drums,moisesdb/moisesdb_v0.1/1a32e987-cae8-458f-9c26-d9a6abf5348d/drums/3563633d-8a0c-4af3-a87f-7f3d8873dd80.wav,speech
drums,moisesdb/moisesdb_v0.1/1a32e987-cae8-458f-9c26-d9a6abf5348d/drums/3c51e62c-aa6b-40c6-b997-06b9a0c8f313.wav,speech
drums,moisesdb/moisesdb_v0.1/1a32e987-cae8-458f-9c26-d9a6abf5348d/drums/3d779c5a-bbfc-43bd-96d6-0c0cb84d3c61.wav,speech
drums,moisesdb/moisesdb_v0.1/1a32e987-cae8-458f-9c26-d9a6abf5348d/drums/063be701-187e-43fc-ae69-ddab7dc53678.wav,speech
drums,moisesdb/moisesdb_v0.1/1a32e987-cae8-458f-9c26-d9a6abf5348d/drums/b7f38ba6-7d24-4758-8716-cf347f70753d.wav,speech
vocals,moisesdb/moisesdb_v0.1/1a32e987-cae8-458f-9c26-d9a6abf5348d/vocals/7988bd23-22bb-4047-9671-efe84716f0b9.wav,speech
guitar,moisesdb/moisesdb_v0.1/1a32e987-cae8-458f-9c26-d9a6abf5348d/guitar/ffc9457b-8372-4cb4-a4eb-089aa8cf2c17.wav,guitar
bass,moisesdb/moisesdb_v0.1/1a32e987-cae8-458f-9c26-d9a6abf5348d/bass/64af4955-93c8-4528-9305-5b977c5cab7c.wav,speech
drums,moisesdb/moisesdb_v0.1/4b9f86f4-23e4-458b-839e-8a63b584bea3/drums/e519131a-ada5-413d-ae1e-a8dedd79736d.wav,speech
drums,moisesdb/moisesdb_v0.1/4b9f86f4-23e4-458b-839e-8a63b584bea3/drums/066ee94c-be43-419f-b566-911f8adbddb0.wav,speech
drums,moisesdb/moisesdb_v0.1/4b9f86f4-23e4-458b-839e-8a63b584bea3/drums/660a65f9-2645-484f-b024-41f7ae83fca0.wav,drum
drums,moisesdb/moisesdb_v0.1/4b9f86f4-23e4-458b-839e-8a63b584bea3/drums/5be89bf6-71f9-4a70-a429-c5962ce3a4b7.wav,drum
vocals,moisesdb/moisesdb_v0.1/4b9f86f4-23e4-458b-839e-8a63b584bea3/vocals/6f4a1a22-1cfe-4fb3-a9d3-ad7f9638d024.wav,speech
guitar,moisesdb/moisesdb_v0.1/4b9f86f4-23e4-458b-839e-8a63b584bea3/guitar/7332637e-8786-4008-bb1c-4bb0435548b9.wav,speech
bass,moisesdb/moisesdb_v0.1/4b9f86f4-23e4-458b-839e-8a63b584bea3/bass/f758341c-62b6-4adc-bc89-c73d79bc642a.wav,bass guitar
drums,moisesdb/moisesdb_v0.1/793b98a0-c776-4943-87eb-b7e07e50f531/drums/b6ba9267-177d-47fc-9c3a-0415b1dbc841.wav,drum
drums,moisesdb/moisesdb_v0.1/793b98a0-c776-4943-87eb-b7e07e50f531/drums/d12394a1-48c2-4415-b395-7dc8a780b860.wav,drum
drums,moisesdb/moisesdb_v0.1/793b98a0-c776-4943-87eb-b7e07e50f531/drums/5e4e1130-f038-4c58-b99c-0c7e2c377b6f.wav,drum kit
vocals,moisesdb/moisesdb_v0.1/793b98a0-c776-4943-87eb-b7e07e50f531/vocals/b50b7464-bf39-4b19-8234-9e6f43c6c56c.wav,speech
vocals,moisesdb/moisesdb_v0.1/793b98a0-c776-4943-87eb-b7e07e50f531/vocals/44eebf6a-da17-4fd3-a6c0-b6456d0ae02b.wav,speech
other_keys,moisesdb/moisesdb_v0.1/793b98a0-c776-4943-87eb-b7e07e50f531/other_keys/e9950f1c-35b3-473d-88ce-71f8852682b7.wav,synthesizer
guitar,moisesdb/moisesdb_v0.1/793b98a0-c776-4943-87eb-b7e07e50f531/guitar/29e5a534-8cf6-4a6d-9e42-8259f772605a.wav,guitar
bass,moisesdb/moisesdb_v0.1/793b98a0-c776-4943-87eb-b7e07e50f531/bass/6256d87d-04e4-4cba-bdc4-41cdd5a20c8c.wav,bass guitar
percussion,moisesdb/moisesdb_v0.1/793b98a0-c776-4943-87eb-b7e07e50f531/percussion/8cc79c10-6ef4-4b31-a600-839716b0e8ef.wav,tambourine
drums,moisesdb/moisesdb_v0.1/25789239-1075-43b9-bfc9-51dff4a29590/drums/be316848-ed58-4178-9953-5df1dd497689.wav,drum kit
drums,moisesdb/moisesdb_v0.1/25789239-1075-43b9-bfc9-51dff4a29590/drums/5490959d-a7c9-49a7-a7de-2d97442d3f0d.wav,snare drum
drums,moisesdb/moisesdb_v0.1/25789239-1075-43b9-bfc9-51dff4a29590/drums/511c0f78-739c-4819-8501-fa88c4de72d3.wav,speech
drums,moisesdb/moisesdb_v0.1/25789239-1075-43b9-bfc9-51dff4a29590/drums/1ceb53e7-a57b-4b77-858d-ffddd846fcaf.wav,drum machine
vocals,moisesdb/moisesdb_v0.1/25789239-1075-43b9-bfc9-51dff4a29590/vocals/8edb11c8-edd1-4d1d-9125-ed422d8b558a.wav,chant
vocals,moisesdb/moisesdb_v0.1/25789239-1075-43b9-bfc9-51dff4a29590/vocals/9579cdc5-6a6e-4daa-9d66-eb687a9f7b81.wav,voice
other_keys,moisesdb/moisesdb_v0.1/25789239-1075-43b9-bfc9-51dff4a29590/other_keys/369aed96-50b2-4f3d-aa91-92fac9fa00ee.wav,speech
guitar,moisesdb/moisesdb_v0.1/25789239-1075-43b9-bfc9-51dff4a29590/guitar/57c8cb32-bbdc-4381-adca-8d07104e88eb.wav,guitar
bass,moisesdb/moisesdb_v0.1/25789239-1075-43b9-bfc9-51dff4a29590/bass/d2279fee-2f38-48ab-9adc-9ed16ad55e9b.wav,guitar
piano,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/piano/5efe7434-c910-4c91-8e2f-b14fac3ca230.wav,piano
bowed_strings,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/bowed_strings/452660f0-4532-40c2-9647-65b9c4cc426c.wav,speech
drums,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/drums/96bb7da1-d00b-4529-9bf7-9ce01623df41.wav,speech
drums,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/drums/932169ad-2fee-4389-8473-73df5ce99462.wav,speech
drums,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/drums/f22c35be-127e-4a2c-b766-1a08361b2f2c.wav,speech
drums,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/drums/2fc29d34-872a-4b93-aa96-6271e6425223.wav,speech
drums,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/drums/21ab7e1a-b181-47a5-ab8e-5d5eb702d3d5.wav,speech
drums,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/drums/fb35766d-b51a-448e-b3f1-b08afc0cb837.wav,speech
vocals,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/vocals/1ff9f917-e761-4509-8dd2-f7dcfd8a7804.wav,speech
